Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,1030.547119,1039.765259,1029.301636,1040.063721,1040.063721,125557274
2017-03-07,1040.374268,1041.690552,988.270081,1002.655090,1002.655090,238675735
2017-03-08,1002.401062,1009.553467,943.213867,944.713684,944.713684,273230105
2017-03-09,945.001221,984.834229,938.202881,977.939575,977.939575,174675395
2017-03-10,978.655457,1045.826416,885.241211,918.355225,918.355225,463648000
2017-03-11,918.026245,981.768066,918.026245,966.965454,966.965454,232993421
2017-03-12,967.615112,1008.697754,966.578918,1003.598999,1003.598999,186668857
2017-03-13,1003.927734,1012.660583,996.014404,1009.356873,1009.356873,311574757
2017-03-14,1009.553467,1023.524170,1005.286987,1020.072388,1020.072388,201798288
2017-03-15,1020.204041,1026.498779,1019.866760,1017.432007,1017.432007,242472717
2017-03-16,1018.832397,1025.750122,932.093140,961.945313,961.945313,517142857
2017-03-17,955.749939,955.285767,887.179260,887.711792,887.711792,570113745
2017-03-18,887.276062,898.878418,772.676331,785.717285,785.717285,501292573
2017-03-19,788.066772,863.248352,788.066772,837.228455,837.228455,328392150
2017-03-20,837.632202,860.683350,837.247681,852.523010,852.523010,231707895
2017-03-21,853.436829,899.310974,853.229858,897.868591,897.868591,270345358
2017-03-22,897.956726,897.956726,812.407898,841.398682,841.398682,305430260
2017-03-23,842.128540,846.678955,824.132996,829.942444,829.942444,198609557
2017-03-24,829.830566,833.910400,748.324524,752.001282,752.001282,393870230
2017-03-25,751.215210,782.675049,724.884094,780.283142,780.283142,349565258
2017-03-26,781.274597,808.502441,765.369385,772.700012,772.700012,242720805
2017-03-27,776.960266,831.664307,772.212585,832.818359,832.818359,296675167
2017-03-28,831.870605,848.259094,825.618530,843.523438,843.523438,262874174
2017-03-29,842.661499,846.542053,818.795837,836.123169,836.123169,239956571
2017-03-30,837.924072,843.480713,815.444885,822.657715,822.657715,282895721
2017-03-31,822.825989,856.578247,818.105042,854.084045,854.084045,356432391
2017-04-01,854.020203,869.965698,845.557373,861.024780,861.024780,230802441
2017-04-02,861.112427,883.034363,857.000549,878.923462,878.923462,410037486
2017-04-03,879.545410,922.351257,879.405151,915.927307,915.927307,464801434
2017-04-04,917.296631,929.315308,900.016052,911.119141,911.119141,350787920
2017-04-05,911.834717,911.938599,892.689392,900.977295,900.977295,332252483
2017-04-06,901.802368,952.753967,901.369141,948.572388,948.572388,410027282
2017-04-07,945.572632,959.085022,933.025940,951.260925,951.260925,256241526
2017-04-08,947.825745,957.791748,939.686340,950.492981,950.492981,169182023
2017-04-09,950.994141,967.677002,947.187195,960.127686,960.127686,195880219
2017-04-10,959.667053,960.106445,951.682983,955.667358,955.667358,173790861
2017-04-11,955.932983,967.152283,955.702209,965.011597,965.011597,173125650
2017-04-12,964.851501,966.872253,957.561218,956.622559,956.622559,230078112
2017-04-13,957.140625,959.416016,924.264648,935.349182,935.349182,281552669
2017-04-14,936.189087,951.878540,927.090332,932.614441,932.614441,203552207
2017-04-15,932.422729,948.957581,930.553528,936.592407,936.592407,162600054
2017-04-16,936.664246,947.955872,936.664246,943.784851,943.784851,146187177
2017-04-17,944.032227,951.126343,934.159180,950.943848,950.943848,201677419
2017-04-18,950.832336,959.623230,950.756653,943.374390,943.374390,210622858
2017-04-19,943.732483,948.061768,942.720764,947.018799,947.018799,225399837
2017-04-20,947.636902,968.459290,945.991882,960.218689,960.218689,246178125
2017-04-21,960.484436,965.955383,948.766846,953.832397,953.832397,212431320
2017-04-22,954.347473,964.377197,943.232910,961.372131,961.372131,194598813
2017-04-23,961.536072,961.754578,939.917175,941.441101,941.441101,201942609
2017-04-24,943.328369,977.908020,943.401978,978.591003,978.591003,184583953
2017-04-25,978.825806,987.827271,978.220337,986.198547,986.198547,189024314
2017-04-26,986.588196,1007.728210,986.695313,997.259827,997.259827,256602061
2017-04-27,997.882629,1022.785339,997.819519,1022.130005,1022.130005,348430803
2017-04-28,1022.137756,1031.360474,997.737976,1016.743896,1016.743896,407390324
2017-04-29,1017.794250,1025.023071,1015.763000,1020.844971,1020.844971,326464306
2017-04-30,1020.906677,1042.305908,1015.539124,1042.612915,1042.612915,319550594
2017-05-01,1042.930054,1110.756592,1042.930054,1102.357300,1102.357300,553368486
2017-05-02,1101.915405,1141.319458,1097.008911,1122.735718,1122.735718,368885613
2017-05-03,1123.477661,1160.063721,1120.781982,1157.711060,1157.711060,453574677
2017-05-04,1158.200562,1245.575684,1158.110596,1189.778687,1189.778687,722337505
2017-05-05,1192.254761,1250.892944,1181.250488,1198.343628,1198.343628,728841269
2017-05-06,1199.391357,1216.332886,1188.366699,1216.332886,1216.332886,448790434
2017-05-07,1216.848999,1231.561890,1201.664063,1231.649170,1231.649170,833099315
2017-05-08,1231.811157,1331.903564,1231.621216,1331.903564,1331.903564,1035876033
2017-05-09,1332.320923,1418.890259,1327.275635,1355.804443,1355.804443,902077701
2017-05-10,1356.700439,1383.170898,1325.136841,1382.478516,1382.478516,708380140
2017-05-11,1377.249146,1449.064331,1356.739868,1434.668213,1434.668213,620481167
2017-05-12,1432.487427,1441.110229,1315.225220,1338.383911,1338.383911,575164169
2017-05-13,1337.514526,1407.273193,1281.595825,1401.001343,1401.001343,449922384
2017-05-14,1397.857666,1421.578857,1379.791870,1404.106201,1404.106201,339358844
2017-05-15,1403.741333,1407.016479,1322.399414,1347.515747,1347.515747,567032806
2017-05-16,1350.050293,1383.270020,1306.079224,1343.077271,1343.077271,742639764
