Date,Open,High,Low,Close,Adj Close,Volume
2016-08-25,440.119995,442.980011,433.480011,441.690002,441.690002,236530
2016-08-26,441.690002,442.640015,434.179993,437.640015,437.640015,115157
2016-08-27,437.640015,442.049988,434.140015,440.160004,440.160004,146746
2016-08-28,440.160004,447.010010,435.670013,442.760010,442.760010,154883
2016-08-29,442.760010,444.619995,436.410004,442.230011,442.230011,287485
2016-08-30,442.230011,445.450012,433.670013,438.339996,438.339996,263113
2016-08-31,438.339996,450.059998,429.820007,432.760010,432.760010,269530
2016-09-01,432.760010,437.820007,430.989990,437.429993,437.429993,208476
2016-09-02,437.429993,455.100006,434.700012,455.070007,455.070007,120821
2016-09-03,455.070007,468.890015,452.709991,464.049988,464.049988,127127
2016-09-04,464.049988,465.320007,450.790009,458.440002,458.440002,166534
2016-09-05,458.440002,469.709991,453.299988,459.459991,459.459991,228640
2016-09-06,459.459991,465.950012,451.920013,464.209991,464.209991,199069
2016-09-07,464.209991,497.829987,457.700012,475.940002,475.940002,310115
2016-09-08,475.940002,482.010010,467.850006,477.640015,477.640015,257304
2016-09-09,477.640015,478.649994,472.290009,476.500000,476.500000,134710
2016-09-10,476.500000,480.459991,454.299988,462.809998,462.809998,103909
2016-09-11,462.809998,474.119995,454.369995,460.679993,460.679993,257068
2016-09-12,460.679993,466.170013,458.410004,464.390015,464.390015,270298
2016-09-13,464.390015,469.630005,461.600006,463.029999,463.029999,281611
2016-09-14,463.029999,465.450012,457.119995,458.959991,458.959991,240144
2016-09-15,458.959991,467.859985,450.440002,459.230011,459.230011,230556
2016-09-16,459.230011,470.920013,460.049988,469.320007,469.320007,127173
2016-09-17,469.320007,473.239990,462.690002,470.510010,470.510010,136650
2016-09-18,470.510010,476.100006,464.130005,467.390015,467.390015,275520
2016-09-19,467.390015,490.790009,462.910004,470.980011,470.980011,294025
2016-09-20,470.980011,476.859985,457.540009,461.459991,461.459991,322600
2016-09-21,461.459991,464.309998,452.649994,460.890015,460.890015,240598
2016-09-22,460.890015,468.839996,457.989990,468.220001,468.220001,204084
2016-09-23,468.220001,471.929993,465.010010,468.700012,468.700012,143056
2016-09-24,468.700012,469.859985,461.480011,467.160004,467.160004,145474
2016-09-25,467.160004,472.959991,460.250000,470.380005,470.380005,302199
